589,1588,611,3,0
589,1589,588,1,2
592,1588,591,1,2
595,1592,596,2,1
595,1593,594,1,1
596,1584,618,3,0
598,1584,599,2,1
598,1588,597,1,2
599,1589,621,3,0
601,1588,579,0,3
601,1591,579,0,3
602,1585,580,0,3
602,1590,603,2,1
606,1594,605,1,2
609,1585,587,0,3
611,1589,633,3,0
614,1588,613,1,2
615,1584,637,3,0
617,1592,618,2,1
617,1593,616,1,1
618,1584,640,3,0
620,1590,642,3,0
621,1584,622,2,1
624,1585,602,0,3
624,1590,625,2,1
624,1591,602,0,3
628,1594,627,1,2
631,1585,609,0,3
636,1588,635,1,2
637,1584,659,3,0
639,1592,640,2,1
639,1593,638,1,1
640,1584,662,3,0
642,1588,641,1,2
643,1584,644,2,1
644,1589,622,0,3
646,1585,624,0,3
646,1590,647,2,1
646,1591,624,0,3
650,1594,649,1,2
653,1585,631,0,3
653,1588,654,2,1
658,1588,657,1,2
659,1584,681,3,0
661,1592,662,2,1
661,1593,660,1,1
662,1584,684,3,0
664,1590,686,3,0
664,1593,665,2,1
666,1584,644,0,3
666,1589,644,0,3
668,1585,646,0,3
668,1590,669,2,1
672,1594,671,1,2
675,1585,653,0,3
679,1593,678,1,2
680,1588,679,1,2
681,1584,703,3,0
683,1593,682,1,1
684,1584,706,3,0
686,1588,685,1,2
687,1593,688,2,1
688,1584,666,0,3
688,1589,687,1,2
690,1585,668,0,3
690,1590,691,2,1
694,1594,693,1,2
697,1585,675,0,3
702,1588,701,1,2
703,1584,725,3,0
705,1593,704,1,1
706,1584,728,3,0
706,1592,728,3,0
708,1590,730,3,0
709,1591,731,3,0
710,1589,709,1,2
710,1591,732,3,0
711,1584,689,0,3
712,1585,690,0,3
712,1590,713,2,1
716,1594,715,1,2
719,1585,697,0,3
724,1588,723,1,2
725,1584,747,3,0
725,1592,747,3,0
727,1593,726,1,1
728,1584,750,3,0
730,1588,729,1,2
731,1589,709,0,3
731,1591,730,1,2
732,1589,710,0,3
732,1591,731,1,2
732,1593,710,0,3
733,1584,711,0,3
734,1585,712,0,3
734,1590,735,2,1
738,1594,737,1,2
741,1585,719,0,3
743,1589,721,0,3
746,1588,745,1,2
747,1584,769,3,0
749,1593,748,1,1
750,1584,772,3,0
751,1592,773,3,0
752,1590,774,3,0
752,1591,1591,4,0
753,1589,731,0,3
753,1591,752,1,2
754,1589,732,0,3
756,1584,734,0,3
756,1585,734,0,3
756,1590,757,2,1
760,1594,759,1,2
763,1585,741,0,3
765,1589,743,0,3
765,1591,766,2,1
766,1589,744,0,3
766,1591,767,2,1
767,1591,768,2,1
768,1588,767,1,2
768,1592,790,3,0
769,1584,791,3,0
771,1593,770,1,1
772,1584,794,3,0
774,1588,773,1,2
774,1592,796,3,0
775,1591,774,1,2
776,1591,775,1,2
777,1593,755,0,3
778,1585,756,0,3
778,1590,779,2,1
779,1584,757,0,3
785,1585,763,0,3
788,1589,789,2,1
789,1592,811,3,0
790,1588,789,1,2
791,1584,813,3,0
793,1593,792,1,1
794,1584,816,3,0
795,1591,817,3,0
796,1590,818,3,0
800,1585,778,0,3
800,1590,801,2,1
801,1584,779,0,3
807,1585,785,0,3
807,1591,808,2,1
809,1591,831,3,0
810,1591,832,3,0
811,1591,833,3,0
812,1588,811,1,2
812,1591,834,3,0
813,1584,835,3,0
815,1593,814,1,1
816,1584,838,3,0
817,1591,1591,4,0
818,1588,817,1,2
818,1591,840,3,0
819,1591,841,3,0
820,1591,842,3,0
822,1585,800,0,3
822,1590,823,2,1
829,1585,807,0,3
829,1591,830,2,1
832,1589,833,2,1
832,1592,854,3,0
834,1588,833,1,2
835,1584,857,3,0
837,1593,836,1,1
838,1584,860,3,0
839,1591,817,0,3
840,1590,862,3,0
844,1585,822,0,3
844,1590,845,2,1
851,1585,829,0,3
851,1591,852,2,1
853,1591,831,0,3
854,1591,832,0,3
855,1591,833,0,3
856,1588,855,1,2
856,1591,834,0,3
857,1584,879,3,0
859,1593,858,1,1
859,1595,837,0,3
860,1584,882,3,0
860,1595,838,0,3
861,1591,1591,4,0
861,1595,839,0,3
862,1588,861,1,2
862,1595,840,0,3
863,1595,841,0,3
864,1595,842,0,3
866,1585,844,0,3
866,1590,867,2,1
873,1585,851,0,3
873,1591,874,2,1
875,1591,876,2,1
875,1592,897,3,0
876,1589,877,2,1
876,1591,877,2,1
877,1591,878,2,1
878,1588,877,1,2
879,1584,901,3,0
880,1595,1595,4,0
881,1593,880,1,1
881,1595,880,1,1
882,1584,904,3,0
883,1591,861,0,3
884,1590,906,3,0
888,1585,866,0,3
888,1590,889,2,1
